Customer,Risk,Amount
Instituition,Medium,299828
Corporation,High,409482
Individual,Medium,502649
Instituition,Low,336401
Individual,Low,493817
Corporation,Medium,387592
Instituition,Medium,165634
Instituition,Medium,115182
Instituition,Medium,197080
SME,Medium,265215
Corporation,Low,417168
Individual,High,558402
Instituition,Low,278102
Corporation,Low,525246
Corporation,Medium,243427
SME,Low,317276
Instituition,Medium,112322
SME,High,208352
Instituition,Medium,231690
Corporation,High,385317
Instituition,Low,364059
Individual,Medium,189625
Individual,High,313174
SME,Medium,187082
Corporation,High,141162
Corporation,Medium,532932
Corporation,Medium,333256
SME,High,65444
SME,Low,308745
Individual,Low,545849
Instituition,High,228332
Individual,Medium,108815
Corporation,Medium,282327
Instituition,Low,58308
Individual,Low,325573
SME,Medium,426095
Individual,Medium,52228
Instituition,Medium,301408
Corporation,Low,251466
Corporation,Low,432888
SME,High,329535
Instituition,Medium,137060
Instituition,Low,432268
Instituition,Medium,530351
Individual,High,358815
Instituition,Low,430448
Instituition,Medium,194707
Corporation,Medium,108872
Individual,High,75797
Instituition,High,349200
SME,Medium,415337
Corporation,Medium,336520
Instituition,High,435416
Corporation,Low,551480
SME,High,305093
Corporation,High,507764
SME,High,123827
Instituition,Low,142565
Individual,Medium,237955
Corporation,High,369619
Corporation,High,229751
Individual,Medium,439503
Individual,Low,179316
Instituition,High,326143
SME,Medium,511210
Instituition,Low,312603
Instituition,Low,279888
SME,High,76826
SME,Low,520437
SME,High,376056
SME,Medium,234450
Instituition,Medium,297903
SME,Medium,491861
Individual,Medium,441192
Instituition,Medium,195033
SME,Medium,234970
Corporation,High,111338
Individual,Medium,177565
Instituition,Low,349335
SME,High,322245
Individual,High,126995
Individual,Medium,461505
Corporation,High,563996
Instituition,Low,426043
Corporation,Low,539698
SME,Low,532471
Instituition,Low,146690
SME,Low,437464
Corporation,High,512494
Instituition,Low,184625
SME,Medium,568143
Individual,Low,515232
Corporation,High,449776
Corporation,High,157930
Corporation,Medium,526898
Individual,Low,189126
Individual,High,465457
Instituition,Medium,198771
Individual,Low,316126
Instituition,Low,145615
Instituition,Low,107236
Instituition,High,337629
Instituition,High,239478
SME,Medium,534757
Corporation,Low,597732
Instituition,Medium,534768
Instituition,Low,179527
Instituition,Medium,63756
Instituition,Low,596830
Individual,High,330788
SME,High,58772
Corporation,High,316404
Individual,High,353320
Individual,Medium,136391
SME,Medium,444777
Instituition,High,202210
Instituition,Low,308089
Corporation,Low,217684
Corporation,Low,467684
SME,High,358376
Instituition,Low,327000
SME,Low,528387
Instituition,Medium,97747
Individual,Medium,233397
SME,High,578221
Individual,High,59019
SME,Medium,379297
Individual,High,379501
Instituition,Low,195848
SME,Medium,486314
SME,Low,461270
Individual,High,199878
Corporation,Low,554806
Corporation,Medium,417389
SME,Low,246893
SME,High,143056
Corporation,High,31596
Corporation,Low,458770
SME,Low,67476
Instituition,Medium,445569
SME,Low,68717
Individual,Low,572634
SME,High,557247
SME,Medium,242309
Individual,Low,370211
Individual,Medium,413138
SME,High,94252
Corporation,Low,538113
Individual,Low,411105
SME,Medium,177770
SME,Low,382140
SME,High,240323
Individual,Low,68192
Individual,High,403763
Instituition,Medium,520298
SME,Medium,41705
Instituition,High,164942
Individual,Low,466396
Individual,High,170976
Individual,Low,407002
Corporation,Medium,184617
Corporation,Medium,490260
Instituition,Medium,201568
Instituition,High,191379
Corporation,Low,202948
Individual,High,112278
Individual,Low,68376
SME,Medium,57861
Individual,High,583968
Corporation,High,65950
Corporation,Low,385884
Corporation,Low,343722
Individual,Low,111210
SME,Low,113544
Individual,Low,389031
Individual,Low,39791
Individual,Medium,570415
Instituition,Medium,80367
Individual,Low,561124
SME,Medium,512443
Individual,Medium,267002
Corporation,Medium,84149
SME,Medium,64489
Instituition,Low,480403
Corporation,Low,219979
Individual,Medium,54014
SME,High,98654
Instituition,High,162281
Instituition,High,292574
Instituition,Low,116713
Individual,Low,331075
Individual,Medium,214152
SME,High,559357
Instituition,Medium,55853
SME,Medium,30645
Instituition,Medium,570346
Instituition,High,292420
Individual,High,109998
Individual,High,421583
Corporation,Medium,554662
SME,Low,87644
SME,Medium,83262
SME,High,489651
SME,Medium,535273
Individual,Medium,198580
Corporation,High,31648
Corporation,High,316358
SME,High,92854
SME,High,189675
Instituition,High,115084
SME,Low,530044
Instituition,High,199662
Individual,Medium,81039
SME,Medium,504671
Corporation,High,187214
Individual,Low,251118
Individual,Medium,246235
Individual,Medium,536295
Individual,Medium,346864
Individual,Medium,423432
Corporation,Medium,197816
SME,Medium,86900
Corporation,Medium,572521
Instituition,Low,264077
Individual,High,306223
Corporation,Medium,507253
Individual,Medium,125887
Individual,High,351633
SME,High,446028
SME,High,284962
Instituition,Low,54553
Instituition,Medium,422137
Instituition,High,466818
SME,High,584363
Individual,High,445978
SME,Medium,236501
SME,Low,247536
Corporation,Medium,76065
SME,Medium,461423
Instituition,Medium,111306
Corporation,High,193438
Corporation,High,371560
Corporation,Medium,562787
Instituition,Low,433554
Instituition,Low,104500
Individual,High,357604
Individual,Medium,267314
Individual,Medium,510349
Instituition,Low,186472
Individual,Low,58626
Individual,High,33927
Individual,Low,55727
SME,Low,417893
SME,Medium,172754
Individual,High,549672
Individual,Medium,550636
SME,Medium,119124
Individual,Medium,167343
SME,Medium,406516
Instituition,Low,232667
SME,Low,560019
SME,High,539235
SME,Low,211221
Corporation,High,564267
Instituition,Low,372499
SME,High,70682
Instituition,High,432941
Individual,Low,413689
Corporation,Low,502229
Instituition,High,272894
Corporation,Low,470576
Corporation,Low,105134
Corporation,Low,98578
Instituition,Low,72099
Corporation,Medium,25013
Corporation,High,360839
SME,High,443845
Corporation,Low,135058
Individual,Low,559360
Instituition,Medium,331598
Individual,Low,109300
Instituition,Medium,389043
Corporation,High,536743
Corporation,Low,172293
SME,High,422870
Corporation,Low,58813
Individual,Medium,60031
Individual,Medium,121367
Individual,Medium,95276
Corporation,Low,561766
Corporation,Low,102334
SME,High,315570
SME,Medium,358182
SME,Medium,529395
Instituition,High,174192
SME,Low,75241
Individual,Medium,28468
SME,Low,462667
Instituition,Low,33965
Individual,High,512321
Corporation,Medium,197337
Corporation,High,222105
Individual,High,252327
Individual,High,53585
Individual,Medium,102142
Corporation,Medium,225883
SME,Medium,101776
SME,High,270804
Corporation,Medium,412932
Instituition,Medium,497028
Individual,Low,567403
SME,Low,536615
Instituition,Medium,379086
Individual,Low,78724
Instituition,Low,132567
Instituition,High,454821
Instituition,Low,375968
Instituition,High,436599
Corporation,Medium,44612
SME,Medium,192521
Instituition,Low,33434
SME,High,84240
Individual,High,255257
Individual,Low,364586
Individual,Low,597012
Corporation,Low,285252
Individual,Low,511900
Instituition,High,585358
Individual,Medium,367487
Instituition,High,481541
Instituition,Low,374679
SME,Low,426594
SME,Low,91367
Individual,High,386590
Individual,High,94058
Corporation,Low,276902
Individual,Low,226039
SME,Medium,139745
Instituition,Medium,434360
Instituition,Low,591803
Instituition,High,248921
Corporation,High,103093
Corporation,Medium,373857
Corporation,Low,114246
Individual,High,100773
Corporation,Medium,377740
SME,Medium,37969
Instituition,Medium,139763
Individual,Low,144586
SME,Medium,165279
SME,High,396082
SME,Medium,42890
Corporation,Low,462224
Corporation,High,31868
Instituition,Low,464760
SME,High,80468
Instituition,High,395238
Individual,High,296736
Individual,Medium,299331
Instituition,Medium,162346
Individual,Medium,163730
Individual,High,357038
SME,Low,396636
Individual,Low,61866
Individual,Low,350404
Individual,Medium,552210
Instituition,Low,102839
Corporation,High,49273
Instituition,Medium,491584
Individual,High,75606
Individual,Medium,241609
Individual,Low,519409
Corporation,Medium,335372
Individual,Low,448334
Individual,High,394746
SME,Low,171387
Corporation,High,523242
SME,High,520055
Individual,Medium,227595
Corporation,Low,202577
Corporation,Low,571543
Individual,Medium,297645
Corporation,Low,391491
Instituition,Low,434556
SME,Medium,153379
Individual,Low,290707
SME,High,262072
Individual,High,196013
Individual,Medium,512982
Instituition,Medium,137436
Individual,High,230539
Individual,High,460570
Individual,Medium,268834
Corporation,High,370285
SME,Medium,520018
Instituition,High,173009
Corporation,Low,273300
SME,High,455357
Instituition,Medium,575269
SME,Low,266212
SME,High,169029
Instituition,Medium,590766
Instituition,High,254847
Instituition,High,399889
Corporation,High,557019
Corporation,Low,96506
Corporation,Medium,280510
Individual,Low,589667
Corporation,Medium,463024
Instituition,Medium,74187
Individual,High,539294
SME,Low,128265
Individual,Medium,373291
Corporation,Low,38410
Instituition,Medium,571700
Corporation,Medium,31688
Corporation,High,417078
Individual,High,95624
Instituition,High,513438
Corporation,High,580106
Individual,Medium,373487
Corporation,High,405012
Individual,Low,375578
Corporation,High,422685
Individual,High,83920
Individual,Medium,163284
Corporation,Low,68029
Corporation,Medium,77711
Instituition,Medium,464847
Individual,Medium,52340
Corporation,Low,41219
Instituition,Low,463785
Individual,Low,596056
Corporation,High,580265
Instituition,High,152118
SME,High,504514
SME,Medium,101120
SME,High,596647
Individual,Medium,456919
SME,Low,573126
Instituition,Low,365291
Individual,Low,439478
Instituition,High,514289
Corporation,Medium,319678
SME,Low,507664
SME,Medium,453897
Corporation,Low,595584
Instituition,High,159289
Instituition,Low,486041
Individual,Medium,456593
SME,High,155815
Instituition,High,233139
Individual,Low,148208
Corporation,High,491959
Instituition,Low,315178
SME,Medium,38736
Individual,Medium,399442
Corporation,High,153790
Individual,Medium,534584
Individual,Medium,584006
Instituition,Low,67202
Instituition,High,240084
SME,Low,579770
Instituition,High,190123
Individual,High,163123
Individual,Medium,347578
Individual,Low,128843
Corporation,Medium,124105
Instituition,Medium,489402
SME,High,188518
Instituition,Medium,303311
Instituition,High,486659
Corporation,Medium,549927
Instituition,Low,271376
SME,Medium,60984
SME,High,469996
Corporation,Low,253279
Individual,Low,297617
SME,Medium,354701
Individual,Medium,312417
SME,High,286781
Instituition,High,39949
Corporation,High,64790
SME,Low,440700
Instituition,Low,243100
SME,Medium,428802
SME,High,382496
Corporation,Medium,379949
Individual,Medium,305897
Instituition,High,521394
Instituition,Medium,532246
Instituition,Medium,285757
Instituition,High,563785
Individual,High,516175
Instituition,Medium,190031
Corporation,High,232417
SME,Medium,457355
Instituition,High,361496
SME,High,422213
SME,Medium,430315
Individual,Low,253670
Individual,Medium,43703
Corporation,Medium,75609
Corporation,Medium,526559
SME,Low,188334
Individual,Medium,476600
Corporation,Low,520203
Corporation,High,311544
Instituition,Low,519150
Individual,High,545222
SME,Low,78986
Corporation,High,366478
Individual,Medium,230697
SME,Low,597938
Corporation,Low,305856
Corporation,Low,165857
Corporation,Low,460000
SME,Medium,500691
Individual,Low,73102
SME,High,373681
Individual,High,222714
Corporation,Low,204359
SME,Medium,394746
Corporation,High,349208
Corporation,High,287442
Instituition,Low,298922
Corporation,High,217777
Corporation,High,176622
SME,High,482139
Instituition,Low,415663
SME,High,332357
Corporation,Low,43491
Instituition,High,461169
Corporation,Low,42737
Corporation,Medium,153480
Corporation,Medium,90441
Instituition,Low,286857
SME,Low,327091
Corporation,Medium,241910
Individual,High,283885
Individual,High,429027
Individual,Medium,202721
Corporation,Medium,270016
Individual,Low,262296
Corporation,Low,109276
SME,Low,429109
Corporation,High,165864
Instituition,High,407311
Individual,Low,297593
SME,Medium,339930
SME,Medium,459319
SME,Low,367959
SME,Medium,32262
SME,Medium,212351
SME,Medium,417915
Instituition,Low,133030
Instituition,Medium,306796
Corporation,Low,233601
Individual,High,286983
SME,High,301173
Corporation,Medium,327721
Corporation,High,451642
SME,Low,490816
SME,High,199965
Instituition,Medium,586530
Individual,Medium,343435
SME,Low,358887
Individual,Low,507925
SME,Low,178749
Corporation,High,258654
Corporation,Low,129772
Corporation,High,499030
SME,High,580665
Instituition,Medium,436604
Corporation,Medium,95745
Individual,High,139873
Corporation,High,284188
SME,Low,322185
Corporation,High,460849
Individual,Low,36259
SME,Medium,218449
Corporation,High,380813
Individual,Medium,263155
Instituition,High,113450
SME,Medium,108196
Instituition,Medium,460449
Individual,Medium,123304
Individual,High,336550
Corporation,High,37622
Corporation,Low,391153
SME,Medium,383395
SME,Low,293079
SME,Medium,26476
Individual,Low,366116
Instituition,Medium,551417
Corporation,High,595242
SME,Low,498069
Corporation,High,313008
Instituition,High,348738
Instituition,High,522258
Instituition,Low,65230
SME,High,338938
SME,Low,477161
SME,High,263773
Corporation,Medium,559025
Corporation,Low,559226
Individual,Medium,373477
Individual,Medium,48440
Instituition,Low,92435
Corporation,Medium,51031
Corporation,Medium,292067
Instituition,Medium,511105
Corporation,Medium,517508
Instituition,Low,462784
Corporation,High,411827
Corporation,Medium,523188
SME,Medium,464632
Individual,Medium,478271
SME,Medium,62429
Instituition,Low,258509
Individual,Low,76236
SME,Medium,566065
SME,High,323988
Individual,Low,522404
Individual,Low,154969
Corporation,Medium,539383
SME,Low,364241
Corporation,Low,205503
Corporation,High,384312
SME,Low,392463
SME,Medium,72296
Individual,Medium,130234
Individual,Medium,221692
Instituition,High,423126
Instituition,Medium,342802
Individual,High,278234
SME,High,448365
SME,High,593885
SME,Low,57986
Individual,High,439890
Individual,Medium,422237
Corporation,Low,111668
SME,Medium,545395
Corporation,Medium,362524
Individual,Low,497230
Instituition,Low,50824
Corporation,Medium,187447
SME,Medium,300286
Individual,Medium,65479
Instituition,Medium,592432
Instituition,Medium,283910
Corporation,Low,66696
Corporation,Medium,503001
Individual,High,556804
Instituition,Low,249273
SME,Low,235412
Individual,Low,382270
Instituition,Medium,361290
Instituition,Low,215067
Corporation,High,409627
SME,Low,144211
Corporation,Medium,121294
SME,Low,564676
Corporation,Low,218592
Corporation,High,286236
Instituition,Low,225059
Instituition,Medium,368903
Instituition,Medium,431909
SME,High,596300
SME,High,308276
Corporation,High,563062
Corporation,Medium,143808
Individual,Medium,317077
Instituition,Low,32990
Instituition,Low,60450
SME,Low,562266
Corporation,Medium,206648
Corporation,High,44359
Individual,Low,285264
Corporation,High,521613
SME,Low,257950
Individual,Low,547653
Individual,High,552988
Instituition,Medium,410554
SME,Low,443352
SME,Medium,546722
Instituition,High,472322
Instituition,High,64375
Corporation,Low,579185
Instituition,Low,504196
Corporation,High,219677
SME,Low,270138
Individual,Low,316875
Individual,High,397067
Corporation,Low,455636
Individual,High,572412
Instituition,High,322268
SME,High,345362
Corporation,High,155896
Corporation,Medium,144943
SME,Medium,404490
Instituition,High,224945
SME,Low,306839
Corporation,High,52697
Instituition,High,264041
SME,Low,83309
Instituition,High,88862
SME,High,401012
Corporation,High,397326
Corporation,Medium,43084
Corporation,High,289789
Individual,Medium,295623
Corporation,Medium,484775
Instituition,Low,205058
Instituition,High,377934
Corporation,Low,209474
Instituition,Medium,201431
Corporation,Low,446296
Instituition,Medium,320347
SME,Low,409966
Corporation,High,115681
Corporation,Medium,131356
Corporation,High,550739
SME,High,347200
Corporation,High,580458
Instituition,Medium,33890
Individual,Low,134665
SME,Low,418110
Individual,Medium,413400
Corporation,High,529536
Corporation,Low,292299
Individual,Medium,210958
Individual,Medium,318974
SME,High,164529
Individual,Medium,181456
Corporation,Medium,204014
Instituition,Medium,372656
Corporation,Low,320584
Individual,Low,530178
SME,Medium,437739
SME,Low,466127
Corporation,Low,535170
Instituition,High,41615
SME,High,75057
Corporation,Low,160719
Corporation,Low,45717
Corporation,Medium,507548
SME,Low,418600
Instituition,Medium,463659
Instituition,High,536537
Corporation,Low,528956
Corporation,High,33127
Individual,Medium,487235
Individual,High,356097
Corporation,Medium,354477
Instituition,Medium,195539
SME,Medium,285712
SME,Medium,405241
SME,High,157869
Corporation,Low,505276
Instituition,High,479494
SME,Low,438978
Instituition,Low,490560
Corporation,Medium,48391
Instituition,Low,479815
Individual,Low,501207
Corporation,Low,243731
Instituition,Low,491501
Instituition,Medium,330321
Corporation,Medium,453977
Corporation,High,368565
SME,High,267094
Corporation,High,293060
Individual,Low,351902
Instituition,High,539321
Individual,High,367562
Instituition,Medium,397540
Instituition,Medium,242130
SME,Low,519301
Corporation,Low,273763
Corporation,Low,110161
Individual,Medium,539664
Individual,Low,88246
Individual,High,419060
SME,Medium,261059
Corporation,Low,138307
Corporation,High,370387
SME,High,245189
Individual,Medium,462029
SME,Low,306420
Instituition,High,473826
Instituition,Medium,427736
Corporation,Medium,89928
Instituition,Low,281758
Individual,Medium,354095
Corporation,Medium,394916
Corporation,Medium,505617
Individual,High,109189
SME,High,480498
Corporation,Medium,581692
Corporation,High,477078
Corporation,Medium,592931
Corporation,Medium,211093
Individual,Low,357565
Instituition,High,458340
Individual,Low,207628
Instituition,Medium,82642
SME,Low,381881
Individual,Low,540388
Corporation,High,513634
SME,High,338500
Instituition,High,578926
Instituition,Low,315140
SME,Medium,261643
Corporation,Low,457694
Individual,High,221964
Individual,Medium,40098
Instituition,High,510465
SME,Medium,597905
SME,Medium,389792
Corporation,High,340163
Corporation,Low,256927
Corporation,High,418550
Individual,Low,245701
SME,High,397162
Corporation,Medium,353710
Individual,Low,321989
Corporation,High,297823
SME,Low,413513
SME,Medium,315779
Corporation,Medium,578241
Individual,Medium,73805
SME,Medium,330285
SME,Medium,562312
Instituition,Low,67739
SME,High,512821
SME,High,116959
SME,High,395104
Individual,Low,324903
Corporation,Low,70191
Corporation,High,35342
Corporation,Low,473605
Individual,Low,566964
Individual,High,547374
SME,High,82854
Instituition,Low,437537
SME,Low,316675
Corporation,High,56188
Corporation,High,488849
Individual,Medium,408994
SME,Medium,143433
Individual,Medium,120661
SME,High,429534
Instituition,High,46512
Individual,High,40980
SME,Low,465829
Individual,High,583430
Instituition,Low,457010
Corporation,Medium,533767
Corporation,Medium,174613
Corporation,Medium,364380
Instituition,High,103133
Individual,High,252163
Instituition,High,62359
Instituition,Low,499225
Instituition,Medium,303797
Corporation,Low,208408
Instituition,Medium,552158
SME,Low,525513
Individual,Low,421164
Corporation,Low,540272
Instituition,Low,266394
Instituition,Medium,318081
SME,Low,551505
Individual,High,209525
SME,High,407263
Corporation,Low,218960
Corporation,High,332454
Instituition,Low,597687
Corporation,High,178122
Corporation,High,501812
Corporation,Low,496107
Instituition,High,403335
SME,Medium,45610
SME,High,465347
Individual,High,414737
Instituition,Medium,34558
Corporation,Low,222299
SME,Medium,359579
Instituition,Medium,533577
Individual,High,133832
Corporation,Medium,274396
Corporation,Medium,591004
SME,Medium,521397
Corporation,Low,247597
Instituition,Medium,444748
Individual,Low,116264
Instituition,High,473104
Individual,High,121939
Instituition,Low,85880
Instituition,Low,123969
Instituition,Low,344584
Individual,Low,159379
Corporation,Low,545544
Corporation,High,146768
SME,High,254075
Individual,High,263482
Instituition,Medium,424254
SME,Low,449296
Instituition,Medium,276554
Individual,Low,328223
Instituition,Medium,152702
Corporation,Low,312481
SME,Low,96338
Individual,Medium,547081
SME,Low,208371
Corporation,Low,467236
Instituition,High,214287
Corporation,Medium,234932
SME,High,221763
SME,High,77885
SME,Low,219662
Corporation,Medium,314405
Instituition,High,369342
SME,Medium,298567
Individual,Medium,382554
Corporation,High,30568
Individual,Medium,97376
Instituition,Medium,491601
SME,Medium,470086
Corporation,Low,298745
Instituition,High,369742
SME,Medium,581826
SME,Medium,144392
SME,Medium,496286
Instituition,Medium,88864
Individual,High,293178
Corporation,Low,90929
Instituition,Low,260333
Individual,Low,549147
Individual,Medium,53186
Individual,High,581104
SME,High,537891
SME,Medium,135747
Instituition,High,31313
SME,Low,300542
SME,High,409610
Individual,High,474911
Instituition,High,138940
Corporation,High,33309
Instituition,Low,435739
SME,Medium,494085
SME,Medium,194521
Individual,Medium,60148
Instituition,High,319182
Instituition,Medium,147348
Corporation,Low,299457
Corporation,High,553560
Corporation,Low,179795
Individual,High,102389
SME,Medium,233756
Individual,Medium,35313
Instituition,Medium,457129
Corporation,High,180328
Corporation,Low,582809
Instituition,Low,563076
Instituition,High,46555
SME,Medium,222630
Corporation,Medium,166974
SME,Medium,580205
Individual,High,124619
Instituition,Medium,521422
Individual,High,74868
Individual,Medium,132533
Instituition,Medium,135209
SME,High,179762
SME,High,105626
Corporation,High,161771
Individual,High,214466
Corporation,Low,344934
Individual,Medium,455540
Corporation,High,561906
Corporation,High,342551
Corporation,Low,516726
Individual,High,98722
SME,High,597741
Instituition,High,229799
Instituition,High,187015
Instituition,Low,353675
Instituition,Low,486392
SME,Low,138952
Individual,Medium,423990
Instituition,Medium,514813
SME,High,98257
Individual,High,67767
SME,High,284081
Corporation,High,379143
Instituition,Low,54681
Instituition,Medium,464557
Instituition,High,243336
SME,High,537782
SME,High,60555
Instituition,High,125134
Individual,High,570791
Corporation,Low,43306
Corporation,Low,50136
Individual,Medium,425057
Corporation,High,139481
Instituition,High,40953
Instituition,Medium,508929
Corporation,Medium,111651
Corporation,Medium,389706
Corporation,High,85310
Individual,Medium,294835
SME,Low,385283
Individual,Medium,341844
Instituition,Medium,235814
Instituition,High,400676
Corporation,Medium,324613
Corporation,High,384459
Individual,High,128980
Instituition,Medium,280644
Instituition,High,128291
Individual,Medium,132972
Individual,Medium,532279
SME,High,552651
Individual,Medium,447073
Instituition,High,472833
Individual,High,266188
Corporation,High,306746
Corporation,Low,226298
Individual,High,590570
Instituition,Low,199089
Corporation,High,397526
Individual,High,28129
SME,High,163859
Instituition,Medium,475108
Corporation,Low,85479
SME,Low,564993
Instituition,High,590405
Instituition,Low,370952
Instituition,Low,588911
Corporation,Medium,405438
SME,High,267588
Individual,Medium,92581
Individual,Low,559518
Individual,Medium,585721
Instituition,High,129864
Individual,High,444131
Corporation,Low,282656
Individual,Low,374990
Individual,Low,79061
SME,Medium,413654
Corporation,High,318614
Individual,Low,450533
Instituition,Low,420343
Individual,High,239319
Corporation,Low,88695
SME,Low,218988
Individual,High,219824
SME,High,174695
Corporation,High,129126
Individual,Low,372808
Individual,Medium,220350
Corporation,High,432215
Instituition,Low,103533
Individual,High,309122
Individual,Medium,407613
SME,Medium,291345
Instituition,Low,75958
Instituition,High,401519
SME,Low,271090
Individual,Low,58696
Instituition,Medium,200449
Corporation,Medium,168884
SME,Low,384738
Individual,High,99159
Corporation,Medium,547688
Corporation,High,69438
SME,High,529457
Corporation,High,77677
SME,High,499717
Corporation,Medium,105719
Corporation,High,583760
SME,Low,97572
Instituition,Low,431996
Instituition,Medium,147580
SME,High,135032
Individual,Low,445935
Corporation,Medium,372839
SME,Medium,559788
Instituition,Medium,285871
SME,Medium,598868
Individual,Medium,411549
Individual,High,572565
Individual,Low,107365
Instituition,Medium,234726
Individual,Low,536833
Individual,Low,370699
Corporation,Low,261645
Individual,Low,583915
Corporation,High,361684
Individual,High,182809
Corporation,Low,89600
Instituition,Low,89855
Instituition,High,122438
Instituition,Medium,591900
SME,High,122443
SME,Low,388449
SME,High,559774
Instituition,High,181706
Instituition,Low,119508
Instituition,Low,150723
Corporation,High,166390
SME,Low,148898
Instituition,High,366438
Individual,High,337826
Corporation,Low,550455
Corporation,Medium,189612
Individual,Low,339117
Corporation,High,76319
Corporation,Medium,432130
Corporation,High,392935
Corporation,Low,451291
Individual,Low,371283
SME,Medium,78081
Individual,High,565227
SME,Medium,554407
Corporation,High,542335
Individual,Low,57871
Corporation,Low,408615
Corporation,Medium,138765
Individual,High,178478
Corporation,Low,351110
Individual,High,451390
Instituition,High,593504
Instituition,High,562873
Corporation,Low,551285
Corporation,Medium,552824
Instituition,Medium,323646
Individual,Low,366273
Corporation,Low,177905
Corporation,High,411976
SME,Medium,518694
SME,High,256713
Corporation,Medium,230948
Corporation,Medium,319926
Individual,Low,531301
SME,Low,225150
SME,Medium,596277
Individual,High,590863
Individual,High,44771
Corporation,Medium,318806
SME,Low,242078
SME,Low,174640
Individual,Medium,189408
SME,High,521345
Instituition,Medium,64090
SME,High,49942
Instituition,Low,452618
Corporation,Medium,242900
SME,Medium,364710
Instituition,Low,557324
SME,High,277199
Instituition,High,85641
SME,Medium,176228
Corporation,Low,106846
Instituition,Medium,466454
Instituition,Medium,28308
Instituition,High,155588
Individual,Low,378508
Instituition,Low,197122
Individual,Medium,571366
Corporation,Low,80787
Corporation,High,83494
Individual,High,32522
Individual,Low,239136
SME,Medium,51440
Individual,High,492366
SME,High,419307
Individual,High,78170
SME,Low,322953
Individual,High,397233
Corporation,Low,198802
Individual,Low,347431
SME,Low,584729
Individual,Low,225812
Individual,Medium,210747
SME,Low,228832
SME,Medium,170282
Instituition,High,574129
Corporation,Low,266956
SME,High,518746
SME,Medium,587706
SME,High,100648
Instituition,Low,233177
Individual,Medium,397290
Individual,Low,54840
Corporation,Medium,337726
Corporation,High,162404
SME,Medium,400753
Instituition,High,224949
Individual,Low,439132
Corporation,High,170092
Individual,Low,64105
SME,High,481331
Individual,Medium,167065
Corporation,Medium,475218
Instituition,High,155136
Individual,High,167865
Corporation,Low,483832
Instituition,Medium,199633
SME,Medium,298535
SME,Low,351490
Corporation,High,394090
Corporation,High,491480
Instituition,High,420530
Individual,High,202695
Individual,High,35015
Instituition,High,201792
Individual,Medium,28089
Individual,High,47114
SME,Medium,453570
Instituition,High,592815
Individual,Medium,157169
Individual,Medium,86702
SME,Medium,75882
Individual,Low,144505
Instituition,High,86296
Individual,High,382896
Instituition,Medium,378039
Corporation,High,248415
SME,High,587028
Instituition,Medium,439024
Individual,Medium,470512
SME,Low,412421
Instituition,High,389863
Individual,Medium,497840
Corporation,Medium,354510
Instituition,Medium,407199
SME,Low,199610
Individual,Medium,272308
Individual,High,467823
Instituition,Medium,206076
Individual,High,270808
Corporation,Medium,430478
Instituition,Medium,103803
Corporation,Medium,231465
Corporation,Medium,593786
Individual,Low,345285
Individual,Low,386801
Corporation,Low,501693
SME,Medium,266377
Individual,Low,221660
Corporation,Low,374118
Corporation,Low,550928
SME,High,315395
SME,Low,261936
Corporation,Low,325825
Individual,Low,391652
SME,High,128557
Instituition,Medium,530664
Instituition,High,347738
Individual,Low,271147
SME,Low,352064
Individual,High,25681
Corporation,Low,509206
Corporation,Medium,517960
Individual,Low,531207
Corporation,Low,298859
SME,Low,372862
Instituition,Medium,202884
Corporation,Medium,142399
Individual,Low,411692
Instituition,High,429584
Individual,Medium,448310
Instituition,High,123243
SME,Medium,298824
Corporation,Medium,429090
Individual,Medium,517134
Corporation,Medium,514074
Individual,High,184441
Corporation,Medium,55560
SME,Low,171486
Instituition,Medium,458229
Corporation,High,285691
Instituition,Medium,158354
Instituition,Medium,400978
Instituition,Low,505834
Corporation,Medium,212103
Instituition,Medium,562710
Individual,Medium,463091
Individual,Low,495085
Corporation,High,316980
SME,Low,535460
SME,Low,351398
Instituition,Medium,348124
Instituition,Medium,213870
Instituition,Low,329392
Corporation,Low,276462
Individual,Low,273487
Individual,Low,288327
SME,Low,581196
Individual,High,583562
Corporation,Medium,591783
Instituition,Medium,142113
Individual,Low,383059
Corporation,Medium,319782
Individual,High,139755
Instituition,Low,116107
Corporation,High,487011
SME,Medium,89621
Individual,Medium,337004
Corporation,Low,152645
Instituition,High,416247
Individual,High,593967
Corporation,Low,192398
SME,Medium,490578
Corporation,Low,404815
SME,High,140591
Corporation,Medium,560229
Instituition,Medium,576585
SME,High,436474
Corporation,Medium,100730
Instituition,Low,279490
Instituition,Low,393411
SME,Medium,133003
Individual,High,187939
Corporation,Medium,408647
SME,High,194934
Individual,High,196910
SME,High,550623
Corporation,Medium,352622
Corporation,Medium,303220
Corporation,Medium,163656
Instituition,Low,139243
SME,Medium,445819
Individual,Low,334648
SME,Low,386949
Instituition,Low,91436
Instituition,Medium,446273
Corporation,Medium,420592
Corporation,High,288480
Individual,Low,506288
Corporation,Low,44694
Instituition,Medium,597147
Corporation,Medium,460495
SME,Low,439879
Individual,Medium,240656
Instituition,High,412723
SME,Low,183951
Corporation,High,146773
Instituition,Medium,90444
Instituition,High,330332
Corporation,Low,303701
SME,High,469170
Individual,Low,38631
Instituition,Low,101840
Corporation,Medium,339014
Instituition,Medium,553814
Corporation,High,412123
